ACK_ID,PROVIDER_EXCLUDE_IND
"20150107174140P030033513863001","1"
"20150108124108P040036396327001","1"
"20150108160422P030034644647001","1"
"20150109152600P030035957959001","1"
"20150112050525P040011679757001","1"
"20150112063409P030039710311001","1"
"20150112104055P030056341377001","1"
"20150112154146P030040270295001","1"
"20150112170407P030056950033001","1"
"20150113122430P030041642935001","1"
"20150113201840P030042250711001","1"
"20150114072054P030043191303001","1"
"20150114082524P030043298615001","1"
"20150114082930P040044709751001","1"
"20150114083423P040044713591001","2"
"20150114084001P040044717159001","2"
"20150114084323P030043325191001","2"
"20150114084706P030060053009001","1"
"20150114085034P030043335175001","2"
"20150114085447P030043343703001","2"
"20150114085929P040044733895001","1"
"20150114090148P040061037937001","1"
"20150114110301P030060260817001","1"
"20150114114935P040061220177001","1"
"20150114154010P030010888029001","1"
"20150114164606P030043920135001","2"
"20150115074035P040046001911001","1"
"20150115074232P040062930017001","1"
"20150115082352P040062979393001","1"
"20150115114011P040046343975001","1"
"20150115124414P040046453975001","2"
"20150115130137P040001281401001","1"
"20150115131224P040063386833001","2"
"20150115132146P030062498673001","1"
"20150115143432P040063507345001","2"
"20150115144857P040046625223001","1"
"20150115145817P030011296013001","2"
"20150115155024P040046723463001","2"
"20150115162600P040046791271001","1"
"20150115162931P040004873919001","2"
"20150115165836P030062871569001","2"
"20150115183225P030063049393001","2"
"20150115230817P030011338285001","1"
"20150116135648P030046721335001","1"
"20150117091138P030047953591001","1"
"20150121151646P030053724583001","1"
"20150122104947P030054971191001","1"
"20150122135520P040056854455003","2"
"20150123130543P040058242599001","2"
"20150123130916P040058244647001","2"
"20150123131541P040058248295001","1"
"20150123131817P030015506813001","1"
"20150123145623P040058332343001","2"
"20150123145759P040058335223001","2"
"20150123145950P040078882737001","1"
"20150126112922P030060262615001","1"
"20150126142700P040062120567002","2"
"20150127002248P030084309905001",
"20150127002337P030084311825001",
"20150127112045P030061731511001","1"
"20150128105552P040018836765001",
"20150128105607P030062959655001",
"20150128164643P040088807313001","2"
"20150128170925P030087564097001","2"
"20150129081357P040065901591001","2"
"20150129134927P040090370625001","2"
"20150129151938P040066383207001","2"
"20150130091151P030012600607001","2"
"20150130095358P030065559207001","2"
"20150130095847P030065564167001",
"20150130101839P040067510551001","1"
"20150130103051P040067527927001","1"
"20150130105217P030065619639001","1"
"20150130150007P030065942839001","2"
"20150130151715P030065976567001","1"
"20150130154448P040067981079001","1"
"20150130154748P030018571821001","1"
"20150202155037P030097810609001","2"
"20150203104416P040073367111001","2"
"20150203123158P040073482263001","1"
"20150203135156P040099398449001","1"
"20150203135311P040099400769001","1"
"20150203135344P040099401905001","1"
"20150203135422P040099403377001","1"
"20150203135446P040099404209001","1"
"20150203135509P040099405281001","1"
"20150203135543P040099406561001","1"
"20150203135604P030099541057001","1"
"20150203135623P040021936157001","1"
"20150204140624P030021156445001","2"
"20150204140624P030021156445002","1"
"20150204140624P030021156445003","2"
"20150205102500P040076670039001","1"
"20150205103413P040102987985001","1"
"20150205105429P040103016945001","2"
"20150205124051P030103292241001","2"
"20150205140904P040077017735001","1"
"20150206111142P040078386775001","1"
"20150206154341P030021701613001","1"
"20150206172019P040078821863001","1"
"20150209083758P030022693629001","1"
"20150210091615P030079678199001","1"
"20150210100721P040084297351001","1"
"20150210120417P040084387367001","2"
"20150210125340P040084438471001",
"20150210125354P040084438519001",
"20150210125406P040084438567001",
"20150210134158P030079922407001",
"20150210135542P040025184973001","1"
"20150210182922P030113704129001","1"
"20150211070445P040085562919001","1"
"20150211103857P030115129457001","1"
"20150211120852P030023212701001","2"
"20150211121251P040113979345001","2"
"20150211121426P040113983409001","2"
"20150211121549P030023213149001","2"
"20150211121704P040113988945001","2"
"20150211121805P040113990321001","2"
"20150211121923P030023213389001","2"
"20150211135612P030081587287001","1"
"20150212130701P030082799031001","2"
"20150212133639P030082811063001","2"
"20150212150857P030082860711001","2"
"20150212152914P040115940737001","1"
"20150212193740P040116282465001","2"
"20150213072028P040026357325001","1"
"20150213083201P040026415245001","1"
"20150213094823P040026423389001","1"
"20150213103755P040117537777001","2"
"20150213103805P040117538049002","2"
"20150213103805P040117538049003","2"
"20150213115308P040088772119001","1"
"20150213115504P030002023433001","1"
"20150213130626P040026533325001","1"
"20150213131439P040088844903001","2"
"20150213133651P040026562013001","2"
"20150213141254P040088897607001","1"
"20150213141437P030084207303002","1"
"20150213142659P030119641937001","2"
"20150213151326P040117853569001","2"
"20150213152745P030119757377001","2"
"20150213155706P040117904737001","1"
"20150215214210P040027237565001","2"
"20150216095112P030125302225001","2"
"20150216105640P030025262653001","1"
"20150216112519P040122833249001","1"
"20150216143642P030088184855001","2"
"20150216162234P030125868145001","2"
"20150216170425P040123351793001","1"
"20150217100235P040028026061001","2"
"20150217102734P040094487863001","1"
"20150217110006P040094532439001","1"
"20150217115731P040028042637001",
"20150217121346P030025812141001",
"20150217122749P040125110497001",
"20150217124617P030025816621001",
"20150217131338P030127458977001","1"
"20150217135427P040125252753001","2"
"20150217141542P030127560977002","2"
"20150217141542P030127560977003","2"
"20150217145831P040125366225001","2"
"20150217160710P030089778455001","1"
"20150217180857P030025861053001","2"
"20150218074549P040028285229001","2"
"20150218115311P040096170119001","2"
"20150218134016P030090725399001","1"
"20150218140155P040096294743001","2"
"20150218141144P030090771511001","1"
"20150218153005P030129600385001","2"
"20150219110308P040097784983001","2"
"20150219110423P040129079329001","1"
"20150219110534P040097787111001","1"
"20150219110637P040129084817001","1"
"20150219120157P040097827687001","1"
"20150219120730P040129211937001","1"
"20150219124502P040097851959001","1"
"20150220123246P030093054359001","2"
"20150220145138P030093139015001","1"
"20150223081740P030096353175001",
"20150223123525P040103939223001","1"
"20150223135939P030096609783001","1"
"20150224080444P040105285223001","1"
"20150224103249P040030537965001","1"
"20150224155330P030097871063002","2"
"20150224165556P030097916407001","1"
"20150224171325P040030598605001","1"
"20150225093916P040140984897001","2"
"20150225122852P030099039527001","2"
"20150225134734P030029772093001","1"
"20150225140913P040107225591001","2"
"20150226083622P030030081565001","1"
"20150226090708P030030084477001","2"
"20150226101200P040031263117001","2"
"20150226114339P040012644783001","2"
"20150226125658P030030105037001","1"
"20150226143939P030030121805001","1"
"20150226161102P040109150967001","1"
"20150227103551P040004529413001","2"
"20150227133125P040110770263002","1"
"20150227133125P040110770263003","2"
"20150227134828P040144741281001","2"
"20150227162427P030148586353001","2"
"20150227171146P040144999377001","1"
"20150227171402P040145004721001","1"
"20150301183704P030105517351001","2"
"20150302090632P030031587565001","1"
"20150302100431P040150490993001","2"
"20150302140741P030154530097001","1"
"20150302153132P030107010647001","1"
"20150303071305P030032214941001","2"
"20150303150741P040153085857001","2"
"20150303164837P040116465847001","1"
"20150303175811P040116526327001","1"
"20150304114319P040117815623001","1"
"20150304121732P040117847639001","2"
"20150304121913P040117848631001","2"
"20150304122027P030158503889001","2"
"20150304154110P040154953681001","1"
"20150304155320P040118061255001","1"
"20150305093841P030033317485001","2"
"20150305111319P040119114231001","2"
"20150305125031P030160621249001","1"
"20150305125035P030111153143001","1"
"20150305132410P040119226439001","2"
"20150306091146P030162473249001","1"
"20150306104949P030112474935001","1"
"20150306105249P030112480407001","1"
"20150306105639P040120526215001","1"
"20150306105809P040120527911001","1"
"20150306145001P030112743719001","1"
"20150308201250P040036301613001","2"
"20150309112003P030116883319001","1"
"20150309141644P040164454033001","1"
