id,credits,gpa,school,score,interview
2109,16,3.51,Smith,3,1
2112,20,3.81,Clark,3,0
2117,15,3.38,CMNS,1.5,0
2118,14,3.29,CMNS,4.5,1
2119,16,3.88,Smith,3,1
2124,17,3.23,Smith,3.5,0
2126,35,3.09,Clark,3,1
2131,38,3.76,Smith,3.5,1
2139,16,3.27,Smith,4,1
2144,13,3.84,Clark,2.5,0
2147,23,3.76,CMNS,3.5,0
2148,17,3.65,Clark,3,0
2150,16,2.71,Clark,3,1
2151,16,3.74,CMNS,1.5,0
2153,15,3.81,Clark,3.5,1
2154,44,3.75,CMNS,3.5,1
2155,14,3.92,CMNS,3.5,1
2156,14,3.85,CMNS,3.5,0
2158,16,3.16,CMNS,3,0
2160,13,3.4,Smith,4,1
2161,16,3.56,Smith,3,0
2162,15,4,CMNS,3,0
2165,15,3.82,Smith,3,0
2169,15,3.46,Clark,4,1
2171,14,3.64,Clark,3,0
2172,15,3.67,CMNS,2.5,0
2180,50,3.86,Clark,4,1
2188,16,3.88,Smith,2.5,0
2191,16,3.48,CMNS,2,0
2193,16,3.13,CMNS,2,1
2197,16,3.81,Smith,2,1
2198,50,3.75,Clark,3.5,1
2201,15,3.88,Smith,3.5,0
2203,15,3.52,Smith,2.5,0
2204,13,2.41,Smith,3,0
2208,16,3.83,Smith,2.5,0
2211,17,3.48,Smith,3.5,1
2213,15,3.74,Smith,2,0
2220,30,3.14,Smith,2.5,0
2221,13,3.7,Smith,3.5,0
2253,30,3.31,CMNS,3,1
2257,16,3.81,Smith,3,0
2264,16,3.18,Smith,4,1
2265,14,3.22,CMNS,3,0
2266,15,3.2,Smith,3,0
2268,16,3.65,CMNS,3.5,0
2271,14,3.7,CMNS,2,0
2273,16,3.25,Smith,4,1
2277,16,4,Smith,2.5,1
