DATE,IPUTIL
1958-05-01,17.6941
1958-06-01,17.8746
1958-07-01,17.9520
1958-08-01,18.1583
1958-09-01,18.3389
1958-10-01,18.4421
1958-11-01,18.5452
1958-12-01,18.8032
1959-01-01,19.0869
1959-02-01,19.2159
1959-03-01,19.3706
1959-04-01,19.4996
1959-05-01,19.7833
1959-06-01,19.9896
1959-07-01,20.0928
1959-08-01,19.8865
1959-09-01,20.1960
1959-10-01,20.1444
1959-11-01,20.3250
1959-12-01,20.7119
1960-01-01,20.7634
1960-02-01,20.9440
1960-03-01,21.3051
1960-04-01,21.2535
1960-05-01,21.0472
1960-06-01,21.1503
1960-07-01,21.2019
1960-08-01,21.3567
1960-09-01,21.4599
1960-10-01,21.4341
1960-11-01,21.4856
1960-12-01,21.5114
1961-01-01,21.5373
1961-02-01,21.6146
1961-03-01,21.6404
1961-04-01,22.0015
1961-05-01,22.4658
1961-06-01,22.3884
1961-07-01,22.3884
1961-08-01,22.7237
1961-09-01,22.9559
1961-10-01,23.1106
1961-11-01,23.1364
1961-12-01,23.2396
1962-01-01,23.6007
1962-02-01,23.5233
1962-03-01,23.7039
1962-04-01,23.6007
1962-05-01,23.9876
1962-06-01,24.1681
1962-07-01,24.3745
1962-08-01,24.2713
1962-09-01,24.3487
1962-10-01,24.4776
1962-11-01,24.7356
1962-12-01,24.7872
1963-01-01,25.2773
1963-02-01,25.6126
1963-03-01,25.4062
1963-04-01,25.3288
1963-05-01,25.6125
1963-06-01,25.7673
1963-07-01,25.6126
1963-08-01,25.7673
1963-09-01,25.9994
1963-10-01,26.2058
1963-11-01,26.4379
1963-12-01,26.5153
1964-01-01,26.9538
1964-02-01,27.0054
1964-03-01,27.2117
1964-04-01,27.6502
1964-05-01,27.8565
1964-06-01,28.1661
1964-07-01,28.3982
1964-08-01,28.3982
1964-09-01,28.4756
1964-10-01,28.5788
1964-11-01,28.5014
1964-12-01,28.8367
1965-01-01,28.7593
1965-02-01,28.9141
1965-03-01,29.2494
1965-04-01,29.6878
1965-05-01,29.5073
1965-06-01,29.6879
1965-07-01,29.4557
1965-08-01,29.6363
1965-09-01,30.2037
1965-10-01,30.6422
1965-11-01,30.4359
1965-12-01,30.5906
